Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OrangeHRM_Employee_record,Chrome 106.0.0.0,"OrangeHRM Employee record 
1. create employee with valid details.
2. search and delete employee record.
3. create employee with invalid details.",,2022-10-07 11:13:07,2022-10-07 11:15:55,2m - 48.160s,FAILED
,,,,,,,
Test Cases/OrangeHRM_Employee_Create,Chrome 106.0.0.0,Create new employee and search,,2022-10-07 11:13:07,2022-10-07 11:14:04,56.784s,PASSED
"callTestCase(findTestCase(""OrangeHRM_Login_Page""), [:], STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-07 11:13:08,2022-10-07 11:13:17,9.135s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Add_Employee""))",Chrome 106.0.0.0,,,2022-10-07 11:13:17,2022-10-07 11:13:21,3.803s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_firstName""), ""Abdul"")",Chrome 106.0.0.0,,,2022-10-07 11:13:21,2022-10-07 11:13:22,1.593s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_middleName""), ""Kazim"")",Chrome 106.0.0.0,,,2022-10-07 11:13:22,2022-10-07 11:13:23,0.689s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Employee_lastName""), ""Nazir"")",Chrome 106.0.0.0,,,2022-10-07 11:13:23,2022-10-07 11:13:24,0.706s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_Employee Id""), ""001"")",Chrome 106.0.0.0,,,2022-10-07 11:13:24,2022-10-07 11:13:25,0.693s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/button_Employee_Save""))",Chrome 106.0.0.0,,,2022-10-07 11:13:25,2022-10-07 11:13:25,0.391s,PASSED
waitForAlert(2),Chrome 106.0.0.0,,,2022-10-07 11:13:25,2022-10-07 11:13:27,2.102s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_Employee_Other Id""), ""AKN202010"")",Chrome 106.0.0.0,,,2022-10-07 11:13:27,2022-10-07 11:13:31,4.035s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_driver_license_number""), ""MH1020121022"")",Chrome 106.0.0.0,,,2022-10-07 11:13:31,2022-10-07 11:13:32,0.729s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_License Expiry Date""), ""2026-10-10"")",Chrome 106.0.0.0,,,2022-10-07 11:13:32,2022-10-07 11:13:32,0.694s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_SSN Number""), ""MH1010101090"")",Chrome 106.0.0.0,,,2022-10-07 11:13:32,2022-10-07 11:13:33,0.723s,PASSED
"setText(findTestObject(""Object Repository/OrangeHRM_Employee_Create/input_Enter_SIN Number""), ""MH9090909010"")",Chrome 106.0.0.0,,,2022-10-07 11:13:33,2022-10-07 11:13:34,0.706s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/i_Marital_status_Dropdown""))",Chrome 106.0.0.0,,,2022-10-07 11:13:34,2022-10-07 11:13:34,0.379s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/div_Married""))",Chrome 106.0.0.0,,,2022-10-07 11:13:34,2022-10-07 11:13:35,0.481s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/i_Nationality_dropdown""))",Chrome 106.0.0.0,,,2022-10-07 11:13:35,2022-10-07 11:13:35,0.531s,PASSED
"click(findTestObject(""Object Repository/OrangeHRM_Employee_Create/div_Indian""))",Chrome 106.0.0.0,,,2022-10-07 11:13:35,2022-10-07 11:13:36,0.502s,PASSED
